epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.5029,0.2972,0.2941,0.5033,0.7901,0.6651,0.6169,145
2,0.3250,0.0390,0.2969,0.4991,0.8430,0.6458,0.6167,120
3,0.3113,0.0142,0.3006,0.5034,0.7601,0.6766,0.6492,119
4,0.3037,0.0116,0.2948,0.4965,0.7383,0.6197,0.6904,120
5,0.3042,0.0085,0.2974,0.5007,0.7378,0.7332,0.6544,120
6,0.2962,0.0080,0.2898,0.4959,0.7112,0.6674,0.7032,120
7,0.2997,0.0074,0.2938,0.4987,0.7184,0.7233,0.6668,120
8,0.3008,0.0065,0.2956,0.4984,0.6954,0.6817,0.6968,120
9,0.2988,0.0067,0.2934,0.5006,0.6971,0.7030,0.6897,120
10,0.2984,0.0059,0.2936,0.4976,0.6912,0.6908,0.6969,120
11,0.2990,0.0063,0.2940,0.4977,0.6944,0.6960,0.6916,120
12,0.3038,0.0066,0.2986,0.4987,0.6869,0.6833,0.7023,120
13,0.2969,0.0052,0.2926,0.4989,0.6988,0.6966,0.6867,120
14,0.2984,0.0047,0.2945,0.4993,0.6990,0.6960,0.6894,120
15,0.3039,0.0064,0.2988,0.5021,0.6919,0.6906,0.6962,120
16,0.3008,0.0049,0.2967,0.5001,0.6985,0.6958,0.6903,120
17,0.3036,0.0055,0.2991,0.5064,0.6964,0.6948,0.6903,120
18,0.3004,0.0054,0.2959,0.5011,0.6986,0.6960,0.6887,120
19,0.3020,0.0046,0.2981,0.5056,0.6889,0.6848,0.6982,120
20,0.3023,0.0058,0.2975,0.4998,0.6932,0.6905,0.6930,120
21,0.3025,0.0038,0.2992,0.5017,0.6973,0.6920,0.6952,120
22,0.2964,0.0053,0.2919,0.4980,0.6971,0.6954,0.6907,120
23,0.2988,0.0057,0.2941,0.4977,0.6888,0.6861,0.6994,120
24,0.2979,0.0049,0.2938,0.5018,0.6966,0.6929,0.6925,120
25,0.2990,0.0070,0.2934,0.4982,0.6963,0.6975,0.6909,120
26,0.3004,0.0053,0.2960,0.5023,0.6985,0.6962,0.6885,120
27,0.2988,0.0051,0.2945,0.4963,0.6885,0.6839,0.6986,120
28,0.2955,0.0040,0.2920,0.4967,0.6989,0.6968,0.6894,120
29,0.2977,0.0041,0.2941,0.5033,0.6879,0.6836,0.7029,120
30,0.3017,0.0042,0.2980,0.5073,0.6993,0.6996,0.6902,120
31,0.3020,0.0063,0.2969,0.5021,0.6963,0.6957,0.6904,120
32,0.2981,0.0059,0.2933,0.4948,0.6962,0.6918,0.6932,120
33,0.2975,0.0040,0.2940,0.4962,0.6861,0.6819,0.7005,120
34,0.2993,0.0035,0.2962,0.4977,0.7015,0.6992,0.6864,120
35,0.2969,0.0033,0.2939,0.4986,0.6882,0.6815,0.7013,120
36,0.3004,0.0044,0.2966,0.5029,0.7023,0.6956,0.6882,120
37,0.2966,0.0033,0.2936,0.5006,0.6963,0.6920,0.6907,120
38,0.2970,0.0037,0.2937,0.4972,0.6977,0.6925,0.6885,120
39,0.2991,0.0047,0.2951,0.5049,0.7031,0.6905,0.6964,120
40,0.3012,0.0048,0.2972,0.5003,0.6984,0.7025,0.6871,120
41,0.2979,0.0034,0.2948,0.5024,0.6930,0.6897,0.6950,120
42,0.2955,0.0033,0.2924,0.5014,0.6889,0.6892,0.6979,120
43,0.2972,0.0044,0.2934,0.4978,0.6948,0.6953,0.6918,120
44,0.2995,0.0038,0.2962,0.4998,0.6938,0.6937,0.6926,120
45,0.3005,0.0038,0.2971,0.5017,0.6957,0.6931,0.6923,120
46,0.3005,0.0033,0.2975,0.5006,0.6973,0.6953,0.6903,120
47,0.3000,0.0047,0.2960,0.5006,0.6941,0.6963,0.6914,120
48,0.2978,0.0037,0.2945,0.4997,0.6907,0.6881,0.6968,120
49,0.2989,0.0042,0.2953,0.4991,0.6979,0.6960,0.6893,119
50,0.2954,0.0048,0.2913,0.4980,0.6960,0.6951,0.6919,120
51,0.3001,0.0037,0.2968,0.5028,0.6922,0.6927,0.6946,120
52,0.2988,0.0040,0.2953,0.4971,0.6954,0.6951,0.6917,120
53,0.2991,0.0060,0.2942,0.5011,0.6924,0.6927,0.6930,120
54,0.2956,0.0059,0.2907,0.5000,0.6937,0.6914,0.6950,120
55,0.2973,0.0059,0.2925,0.4980,0.6920,0.6908,0.6949,120
56,0.2989,0.0052,0.2946,0.4967,0.6953,0.6942,0.6910,120
57,0.2987,0.0032,0.2958,0.4970,0.6921,0.6903,0.6957,120
58,0.2965,0.0038,0.2931,0.5020,0.6930,0.6933,0.6927,120
59,0.3002,0.0037,0.2969,0.5007,0.6943,0.6925,0.6925,120
60,0.2978,0.0046,0.2939,0.4985,0.6923,0.6915,0.6945,120
61,0.2999,0.0037,0.2967,0.4984,0.6964,0.6941,0.6902,120
62,0.3002,0.0034,0.2971,0.4999,0.6951,0.6947,0.6920,120
63,0.2944,0.0034,0.2913,0.4957,0.6944,0.6928,0.6926,120
64,0.3012,0.0049,0.2970,0.5004,0.6939,0.6922,0.6931,120
65,0.2996,0.0043,0.2959,0.4988,0.6949,0.6936,0.6914,120
66,0.2960,0.0034,0.2929,0.4997,0.6922,0.6909,0.6950,120
67,0.2970,0.0040,0.2935,0.5026,0.6944,0.6931,0.6924,120
68,0.2975,0.0039,0.2941,0.5012,0.6962,0.6944,0.6926,120
69,0.2987,0.0046,0.2947,0.5007,0.6930,0.6929,0.6934,120
70,0.2988,0.0033,0.2958,0.5014,0.6922,0.6910,0.6958,120
71,0.2965,0.0043,0.2929,0.4978,0.6938,0.6947,0.6917,121
72,0.2970,0.0042,0.2933,0.4990,0.6957,0.6936,0.6916,120
73,0.2973,0.0037,0.2940,0.5022,0.6930,0.6909,0.6936,120
74,0.3001,0.0048,0.2961,0.4990,0.6937,0.6936,0.6928,120
75,0.3010,0.0052,0.2967,0.5009,0.6939,0.6905,0.6940,120
76,0.3003,0.0044,0.2966,0.5014,0.6958,0.6924,0.6932,119
77,0.2987,0.0046,0.2947,0.5007,0.6950,0.6945,0.6920,120
78,0.2962,0.0032,0.2933,0.4956,0.6921,0.6913,0.6949,120
79,0.2987,0.0029,0.2960,0.5004,0.6945,0.6953,0.6904,120
80,0.2997,0.0038,0.2964,0.5019,0.7034,0.7014,0.6843,120
81,0.2979,0.0033,0.2949,0.5010,0.6924,0.6923,0.6950,120
82,0.2965,0.0035,0.2934,0.4988,0.6930,0.6932,0.6952,120
83,0.2983,0.0027,0.2957,0.5006,0.6923,0.6920,0.6945,120
84,0.2972,0.0049,0.2931,0.5017,0.6917,0.6926,0.6951,120
85,0.2975,0.0044,0.2937,0.5004,0.6923,0.6913,0.6947,120
86,0.2952,0.0037,0.2920,0.4994,0.6944,0.6930,0.6926,120
87,0.2999,0.0042,0.2963,0.5028,0.6951,0.6960,0.6915,120
88,0.3020,0.0043,0.2983,0.5054,0.6911,0.6910,0.6953,119
89,0.3036,0.0054,0.2991,0.5096,0.6933,0.6910,0.6943,120
90,0.2952,0.0033,0.2922,0.4961,0.6935,0.6939,0.6924,120
91,0.2990,0.0032,0.2961,0.5014,0.6981,0.6974,0.6893,120
92,0.3001,0.0029,0.2974,0.5014,0.6945,0.6913,0.6931,120
93,0.2982,0.0037,0.2949,0.4939,0.6943,0.6905,0.6937,119
94,0.2992,0.0050,0.2950,0.4999,0.6900,0.6876,0.6982,120
95,0.2988,0.0043,0.2950,0.4965,0.6941,0.6957,0.6923,119
96,0.2934,0.0045,0.2895,0.4943,0.6951,0.6950,0.6926,120
97,0.2975,0.0031,0.2947,0.4999,0.6964,0.6961,0.6903,120
98,0.2978,0.0036,0.2946,0.4983,0.6891,0.6878,0.6968,120
99,0.2976,0.0035,0.2945,0.5036,0.6952,0.6922,0.6948,120
100,0.3005,0.0025,0.2980,0.4993,0.6981,0.6963,0.6905,119
101,0.2985,0.0045,0.2947,0.5005,0.6905,0.6901,0.6969,120
102,0.3020,0.0033,0.2989,0.5050,0.6923,0.6938,0.6935,119
103,0.2994,0.0040,0.2959,0.5022,0.6919,0.6934,0.6945,120
104,0.2945,0.0038,0.2911,0.4973,0.7003,0.7003,0.6872,120
105,0.2963,0.0029,0.2936,0.4998,0.6923,0.6922,0.6953,120
106,0.2996,0.0048,0.2955,0.4996,0.6919,0.6928,0.6944,121
107,0.3005,0.0035,0.2974,0.5042,0.6943,0.6948,0.6920,120
108,0.3010,0.0046,0.2971,0.5002,0.6926,0.6923,0.6939,120
109,0.2984,0.0044,0.2947,0.5043,0.6940,0.6934,0.6928,120
110,0.2989,0.0043,0.2953,0.5012,0.6943,0.6934,0.6926,120
111,0.2998,0.0059,0.2950,0.5061,0.6925,0.6913,0.6945,121
112,0.2949,0.0041,0.2913,0.5010,0.6927,0.6935,0.6932,120
113,0.2990,0.0034,0.2960,0.4999,0.6929,0.6923,0.6937,119
114,0.3004,0.0041,0.2968,0.5012,0.6934,0.6933,0.6933,120
115,0.2953,0.0033,0.2923,0.4974,0.6932,0.6927,0.6938,120
116,0.2954,0.0025,0.2930,0.5029,0.6947,0.6948,0.6921,120
117,0.2994,0.0030,0.2966,0.5022,0.6946,0.6932,0.6923,120
118,0.2980,0.0049,0.2939,0.5056,0.6927,0.6930,0.6940,120
119,0.2977,0.0032,0.2948,0.4927,0.6925,0.6926,0.6939,120
120,0.2947,0.0036,0.2915,0.4955,0.6928,0.6927,0.6939,120
121,0.2970,0.0033,0.2939,0.4984,0.6934,0.6939,0.6928,120
122,0.2983,0.0047,0.2943,0.4996,0.6932,0.6930,0.6934,120
123,0.2993,0.0035,0.2961,0.4976,0.6946,0.6940,0.6920,119
124,0.2994,0.0039,0.2960,0.5028,0.6927,0.6923,0.6938,120
125,0.3007,0.0028,0.2981,0.5044,0.6940,0.6937,0.6924,120
126,0.2961,0.0032,0.2931,0.4981,0.6937,0.6935,0.6929,120
127,0.2986,0.0038,0.2952,0.5029,0.6936,0.6926,0.6930,120
128,0.2979,0.0036,0.2947,0.5028,0.6929,0.6933,0.6935,120
129,0.2995,0.0035,0.2964,0.5018,0.6940,0.6937,0.6921,120
130,0.2983,0.0044,0.2945,0.5051,0.6947,0.6933,0.6927,120
131,0.2966,0.0025,0.2941,0.5000,0.6943,0.6929,0.6928,120
132,0.2978,0.0035,0.2946,0.4978,0.6942,0.6943,0.6924,120
133,0.2934,0.0026,0.2909,0.4970,0.6920,0.6916,0.6942,120
134,0.2969,0.0027,0.2943,0.4962,0.6937,0.6925,0.6934,120
135,0.2939,0.0035,0.2908,0.4980,0.6967,0.6956,0.6899,120
136,0.2990,0.0025,0.2966,0.4992,0.6959,0.6941,0.6913,120
137,0.2994,0.0027,0.2968,0.5072,0.6903,0.6912,0.6960,120
138,0.3000,0.0031,0.2971,0.5005,0.6948,0.6952,0.6920,119
139,0.2981,0.0047,0.2941,0.5010,0.6939,0.6942,0.6924,120
140,0.2968,0.0028,0.2942,0.5009,0.6935,0.6920,0.6935,120
141,0.2976,0.0022,0.2954,0.5046,0.6924,0.6930,0.6943,120
142,0.2987,0.0027,0.2961,0.4993,0.6929,0.6912,0.6944,120
143,0.2975,0.0027,0.2949,0.4993,0.6937,0.6940,0.6921,120
144,0.2997,0.0028,0.2970,0.5011,0.6953,0.6946,0.6912,120
145,0.2952,0.0035,0.2920,0.4985,0.6943,0.6920,0.6936,120
146,0.2952,0.0042,0.2915,0.4962,0.6949,0.6938,0.6912,120
147,0.2950,0.0034,0.2919,0.4969,0.6951,0.6947,0.6921,120
148,0.3036,0.0031,0.3007,0.5050,0.6926,0.6904,0.6954,119
149,0.2961,0.0031,0.2932,0.4976,0.6933,0.6944,0.6933,120
150,0.3001,0.0027,0.2975,0.5035,0.6967,0.6973,0.6904,120
151,0.2971,0.0040,0.2936,0.5025,0.6907,0.6909,0.6956,120
152,0.2994,0.0038,0.2960,0.5015,0.6941,0.6936,0.6921,120
153,0.2939,0.0034,0.2909,0.4968,0.6945,0.6935,0.6932,120
